Mount	Shoe
Guide No.	30' / 9.14 m ISO 100 
Angle of Coverage	84°
Bounce Head	None
Swivel Head	None
Coverage	- mm (Full Frame)
Distance Range	3.28 to 14.76' (1 to 4.5 m) at f/2
Zoom Head	None
Off-Camera Terminal	None
Recycle Time	Approximately 0.1 to 5.5 Seconds
Flash-Ready Indicator	Yes
Compensation	-3 EV to +3 EV (in 1/3 EV steps) In-camera control
Wireless Operation	Method: Optical Pulse
Distance: Up to 22.97' / 7 m
Wireless Channels	4
Wireless Groups	3
Power Source	2 x AAA Alkaline, Lithium, Rechargeable NiMH Batteries
Dimensions (W x H x D)	1.7 x 2.0 x 2.6" / 44.3 x 52.0 x 65.0 mm
Weight	1.76 oz / 50 g
